name,slug,image
Broadsiders!,massive-broadsiders,massive-broadsiders.jpg
Wild Wildebeest Wins,pragmatic-play-wild-wildebeest-wins,pragmatic-play-wild-wildebeest-wins.jpg
Dragon Fiesta,titan-gaming-dragon-fiesta,titan-gaming-dragon-fiesta.jpg
Escape the Pyramid - Fire & Ice,pragmatic-play-escape-the-pyramid-fire-ice,pragmatic-play-escape-the-pyramid-fire-ice.jpg
Last Man Standing,slotmill-last-man-standing,slotmill-last-man-standing.jpg
Potion of Madness,playngo-potion-of-madness,playngo-potion-of-madness.jpg
 Flame and Fortune: Hold and Win,octoplay-flame-and-fortune-hold-and-win,octoplay-flame-and-fortune-hold-and-win.jpg
10 Devils Hotfire,novomatic-10-devils-hotfire,novomatic-10-devils-hotfire.jpg
Rocket Wins,3oaks-rocket-wins,3oaks-rocket-wins.jpg
Cash Maximus: Battle Arena,octoplay-cash-maximus-battle-arena,octoplay-cash-maximus-battle-arena.jpg
Jester's Bells Bonanza,booming-jesters-bells-bonanza,booming-jesters-bells-bonanza.jpg
Tombstone Slaughter: El Gordo's Revenge,nolimit-tombstone-slaughter-el-gordos-revenge,nolimit-tombstone-slaughter-el-gordos-revenge.jpg
Wild Wild Pearls,pragmatic-play-wild-wild-pearls,pragmatic-play-wild-wild-pearls.jpg
Barbarossa Revenge,peterandsons-barbarossa-revenge,peterandsons-barbarossa-revenge.jpg
Brick House Bonanza,pragmatic-play-brick-house-bonanza,pragmatic-play-brick-house-bonanza.jpg
Tinkerbot,elk-tinkerbot,elk-tinkerbot.jpg
Pixel Paws,avatarux-pixel-paws,avatarux-pixel-paws.jpg
Emotions,popiplay-emotions,popiplay-emotions.jpg
Cash Explorer,redtiger-cash-explorer,redtiger-cash-explorer.jpg
 Legacy of Gems Blitzways,playngo-legacy-of-gems-blitzways,playngo-legacy-of-gems-blitzways.jpg
Disco Party,bgaming-disco-party,bgaming-disco-party.jpg
Pip and Pippa's Pots of Plenty,octoplay-pip-and-pippas-pots-of-plenty,octoplay-pip-and-pippas-pots-of-plenty.jpg
Hot Chilli Bells,bgaming-hot-chilli-bells,bgaming-hot-chilli-bells.jpg
Crystal Ball Multi Symbols,gamomat-crystal-ball-multi-symbols,gamomat-crystal-ball-multi-symbols.jpg
Dragon's Call,truelab-dragons-call,truelab-dragons-call.jpg
The Book Beyond 2,gamomat-the-book-beyond-2,gamomat-the-book-beyond-2.jpg
Pump,pump,pump.jpg
Fonzo's Feline Fortunes,pragmatic-play-fonzos-feline-fortunes,pragmatic-play-fonzos-feline-fortunes.jpg
xWays Hoarder 2,nolimit-xways-hoarder-2,nolimit-xways-hoarder-2.jpg
Floating Dragon - Year of the Snake,pragmatic-play-floating-dragon-year-of-the-snake,pragmatic-play-floating-dragon-year-of-the-snake.jpg
Epic Hellas,peterandsons-epic-hellas,peterandsons-epic-hellas.jpg
Aztec Gems Megaways,pragmatic-play-aztec-gems-megaways,pragmatic-play-aztec-gems-megaways.jpg
Wild White Rhino,octoplay-wild-white-rhino,octoplay-wild-white-rhino.jpg
Sakura Riches 60,bgaming-sakura-riches-60,bgaming-sakura-riches-60.jpg
Wild Touchdown MegaWays,redtiger-wild-touchdown-megaways,redtiger-wild-touchdown-megaways.jpg
Fortune Snake,pgsoft-fortune-snake,pgsoft-fortune-snake.jpg
Crystal Ball Deluxe,gamomat-crystal-ball-deluxe,gamomat-crystal-ball-deluxe.jpg
 3 Pyramids of Gold: Hold and Win,octoplay-3-pyramids-of-gold-hold-and-win,octoplay-3-pyramids-of-gold-hold-and-win.jpg
Make it Gold,belatra-make-it-gold,belatra-make-it-gold.jpg
Irish Crown,pragmatic-play-irish-crown,pragmatic-play-irish-crown.jpg
Imperial Coins,avatarux-imperial-coins,avatarux-imperial-coins.jpg
Fortune Roulette,pragmatic-play-fortune-roulette,pragmatic-play-fortune-roulette.jpg
Cygnus 5,elk-cygnus-5,elk-cygnus-5.jpg
Wild Duel,peterandsons-wild-duel,peterandsons-wild-duel.jpg
 Treasures of Kongar,playngo-treasures-of-kongar,playngo-treasures-of-kongar.jpg
Trick Of The Dead Wild Candies MegaWays,redtiger-trick-of-the-dead-wild-candies-megaways,redtiger-trick-of-the-dead-wild-candies-megaways.jpg
Book of Juno,gamomat-book-of-juno,gamomat-book-of-juno.jpg
3 African Drums,3oaks-3-african-drums,3oaks-3-african-drums.jpg
Bigger Bass Splash,pragmatic-play-bigger-bass-splash,pragmatic-play-bigger-bass-splash.jpg
Power Balls,endorphina-power-balls,endorphina-power-balls.jpg
Cash Strike Hotstepper Megaways,blueprint-cash-strike-hotstepper-megaways,blueprint-cash-strike-hotstepper-megaways.jpg
Fortune Snake,endorphina-fortune-snake,endorphina-fortune-snake.jpg
25 Coins Grand Gold Edition,voltent-25-coins-grand-gold-edition,voltent-25-coins-grand-gold-edition.jpg
Hawaiitopia,redrake-hawaiitopia,redrake-hawaiitopia.jpg
Phoenix DuelReels,hacksaw-phoenix-duelreels,hacksaw-phoenix-duelreels.jpg
Camelot Cash,relax-camelot-cash,relax-camelot-cash.jpg
Archie O'Loggins and the Enchanted Masks,thunderkick-archie-ologgins-and-the-enchanted-masks,thunderkick-archie-ologgins-and-the-enchanted-masks.jpg
Crystal Robot,backseat-crystal-robot,backseat-crystal-robot.jpg
Mahjong Wins - Gong Xi Fa Cai,pragmatic-play-mahjong-wins-gong-xi-fa-cai,pragmatic-play-mahjong-wins-gong-xi-fa-cai.jpg
Dragon Hopper,pushgaming-dragon-hopper,pushgaming-dragon-hopper.jpg
Sweet Baklava,pragmatic-play-sweet-baklava,pragmatic-play-sweet-baklava.jpg
Kraken's Cove,relax-krakens-cove,relax-krakens-cove.jpg
Mystery of the Nile,pushgaming-mystery-of-the-nile,pushgaming-mystery-of-the-nile.jpg
Maradona El Diez,blueprint-maradona-el-diez,blueprint-maradona-el-diez.jpg
Cleo Team,redrake-cleo-team,redrake-cleo-team.jpg
