name,slug,image
Shining Crown Clover Chance,shining-crown-clover-chance,shining-crown-clover-chance.jpg
40 Super Hot Bell Link,40-super-hot-bell-link,40-super-hot-bell-link.jpg
Burning Hot Clover Chance,burning-hot-clover-chance,burning-hot-clover-chance.jpg
Flaming Hot Extreme Bell Link,flaming-hot-extreme-bell-link,flaming-hot-extreme-bell-link.jpg
5 Burning Clover,5-burning-clover,5-burning-clover.jpg
40 Super Fruits Bell Link,40-super-fruits-bell-link,40-super-fruits-bell-link.jpg
20 Dazzling Hot Clover Chance,20-dazzling-hot-clover-chance,20-dazzling-hot-clover-chance.jpg
40 Burning Hot Bell Link,40-burning-hot-bell-link,40-burning-hot-bell-link.jpg
40 Lucky King Extreme Bell Link,40-lucky-king-extreme-bell-link,40-lucky-king-extreme-bell-link.jpg
10 Clover Hit,10-clover-hit,10-clover-hit.jpg
50 Hot Burst,50-hot-burst,50-hot-burst.jpg
Burning Hot Instant,burning-hot-instant,burning-hot-instant.jpg
5 Shiny Hit,5-shiny-hit,5-shiny-hit.jpg
5 Dazzling Hot Clover Chance,5-dazzling-hot-clover-chance,5-dazzling-hot-clover-chance.jpg
40 Shining Crown Bell Link,40-shining-crown-bell-link,40-shining-crown-bell-link.jpg
100 Leprechaun Hot,100-leprechaun-hot,100-leprechaun-hot.jpg
100 Dazzling Cash,100-dazzling-cash,100-dazzling-cash.jpg
Mummy Secret,mummy-secret,mummy-secret.jpg
5 Super Fruits,5-super-fruits,5-super-fruits.jpg
Senor Muerto,senor-muerto,senor-muerto.jpg
100 Dazzling Hot,100-dazzling-hot,100-dazzling-hot.jpg
10 Dazzling Hot Clover Chance,10-dazzling-hot-clover-chance,10-dazzling-hot-clover-chance.jpg
10 Dazzling Cash,10-dazzling-cash,10-dazzling-cash.jpg
Leprechance Treasury,leprechance-treasury,leprechance-treasury.jpg
20 Crown Hot,20-crown-hot,20-crown-hot.jpg
Leprechance Treasury,leprechance-treasury,leprechance-treasury.jpg
20 Crown Hot,20-crown-hot,20-crown-hot.jpg
40 Zodiac Wheel Bell Link,40-zodiac-wheel-bell-link,40-zodiac-wheel-bell-link.jpg
20 Burning Hot Clover Chance,20-burning-hot-clover-chance,20-burning-hot-clover-chance.jpg
20 Super Hot Bell Link,20-super-hot-bell-link,20-super-hot-bell-link.jpg
Burning Hot Exteme,burning-hot-exteme,burning-hot-exteme.jpg
20 Super Fruits Bell Link,20-super-fruits-bell-link,20-super-fruits-bell-link.jpg
20 Super Hot Clover Chance,20-super-hot-clover-chance,20-super-hot-clover-chance.jpg
Aztec Rush,aztec-rush,aztec-rush.jpg
