name,slug,image
Jackpot Planet MegaWays,redtiger-jackpot-planet-megaways,redtiger-jackpot-planet-megaways.jpg
Wild Coyote Megaways,onetouch-wild-coyote-megaways,onetouch-wild-coyote-megaways.jpg
Mystic Bull,novomatic-mystic-bull,novomatic-mystic-bull.jpg
Wealthy Sharks,onetouch-wealthy-sharks,onetouch-wealthy-sharks.jpg
"The Good, The Bad and The Rich",redtiger-the-good-the-bad-and-the-rich,redtiger-the-good-the-bad-and-the-rich.jpg
Trick Of The Dead Wild Candies MegaWays,redtiger-trick-of-the-dead-wild-candies-megaways,redtiger-trick-of-the-dead-wild-candies-megaways.jpg
Crab Trap,netent-crab-trap,netent-crab-trap.jpg
Finn And the Candy Spin,netent-finn-and-the-candy-spin,netent-finn-and-the-candy-spin.jpg
Wild Touchdown MegaWays,redtiger-wild-touchdown-megaways,redtiger-wild-touchdown-megaways.jpg
Beach Invaders,netent-beach-invaders,netent-beach-invaders.jpg
Case Closed,redtiger-case-closed,redtiger-case-closed.jpg
Book of Juno,gamomat-book-of-juno,gamomat-book-of-juno.jpg
Crystal Ball Deluxe,gamomat-crystal-ball-deluxe,gamomat-crystal-ball-deluxe.jpg
Cash Explorer,redtiger-cash-explorer,redtiger-cash-explorer.jpg
Crystal Ball Multi Symbols,gamomat-crystal-ball-multi-symbols,gamomat-crystal-ball-multi-symbols.jpg
Book of Ra,novomatic-book-of-ra,novomatic-book-of-ra.jpg
Book of Ra Magic,novomatic-book-of-ra-magic,novomatic-book-of-ra-magic.jpg
Million Dollar Heist Xtreme,novomatic-million-dollar-heist-xtreme,novomatic-million-dollar-heist-xtreme.jpg
Wings of Ra MegaWays,redtiger-wings-of-ra-megaways,redtiger-wings-of-ra-megaways.jpg
Big Bank Bust,onetouch-big-bank-bust,onetouch-big-bank-bust.jpg
The Book Beyond 2,gamomat-the-book-beyond-2,gamomat-the-book-beyond-2.jpg
Pirates Party,netent-pirates-party,netent-pirates-party.jpg
Plenty of Fruit 40,novomatic-plenty-of-fruit-40,novomatic-plenty-of-fruit-40.jpg
Gorilla,novomatic-gorilla,novomatic-gorilla.jpg
Book of Ra Deluxe,novomatic-book-of-ra-deluxe,novomatic-book-of-ra-deluxe.jpg
Always Hot,novomatic-always-hot,novomatic-always-hot.jpg
Dead or Alive 2 Feature Buy,netent-dead-or-alive-2-feature-buy,netent-dead-or-alive-2-feature-buy.jpg
Mummy Megaways,netent-mummy-megaways,netent-mummy-megaways.jpg
Dead or Alive 2,netent-dead-or-alive-2,netent-dead-or-alive-2.jpg
Judgement Day Megaways,redtiger-judgement-day-megaways,redtiger-judgement-day-megaways.jpg
Sea Boat Adventure MegaWays,redtiger-sea-boat-adventure-megaways,redtiger-sea-boat-adventure-megaways.jpg
Lucky Lady's Charm Deluxe,novomatic-lucky-ladys-charm-deluxe,novomatic-lucky-ladys-charm-deluxe.jpg
Starburst Galaxy,netent-starburst-galaxy,netent-starburst-galaxy.jpg
Book of Ra Deluxe 6,novomatic-book-of-ra-deluxe-6,novomatic-book-of-ra-deluxe-6.jpg
Mega Joker,novomatic-mega-joker,novomatic-mega-joker.jpg
Ramses book,gamomat-ramses-book,gamomat-ramses-book.jpg
Gladiator Ways,redtiger-gladiator-ways,redtiger-gladiator-ways.jpg
Roman Legion,gamomat-roman-legion,gamomat-roman-legion.jpg
Crystal Ball,gamomat-crystal-ball,gamomat-crystal-ball.jpg
Wings of Fire,novomatic-wings-of-fire,novomatic-wings-of-fire.jpg
Dazzle Me Christmas,netent-dazzle-me-christmas,netent-dazzle-me-christmas.jpg
Lord of the Ocean,novomatic-lord-of-the-ocean,novomatic-lord-of-the-ocean.jpg
Jackass Gold: Hold and Win,novomatic-jackass-gold-hold-and-win,novomatic-jackass-gold-hold-and-win.jpg
"10,001 Nights Megaways",redtiger-10001-nights-megaways,redtiger-10001-nights-megaways.jpg
Sizzling Hot Deluxe,novomatic-sizzling-hot-deluxe,novomatic-sizzling-hot-deluxe.jpg
Zeus Lightning MegaWays,redtiger-zeus-lightning-megaways,redtiger-zeus-lightning-megaways.jpg
Bass Boss,redtiger-bass-boss,redtiger-bass-boss.jpg
Big Bang Boom,netent-big-bang-boom,netent-big-bang-boom.jpg
