name,slug,image
Sweet Bonanza 1000,pragmatic-play-sweet-bonanza-1000,pragmatic-play-sweet-bonanza-1000.jpg
Gates of Olympus 1000,pragmatic-play-gates-of-olympus-1000,pragmatic-play-gates-of-olympus-1000.jpg
Gates of Olympus Xmas 1000,pragmatic-play-gates-of-olympus-xmas-1000,pragmatic-play-gates-of-olympus-xmas-1000.jpg
Sugar Rush 1000,pragmatic-play-sugar-rush-1000,pragmatic-play-sugar-rush-1000.jpg
Zeus vs Hades: Gods of War,pragmatic-play-zeus-vs-hades-gods-of-war,pragmatic-play-zeus-vs-hades-gods-of-war.jpg
Sweet Bonanza,pragmatic-play-sweet-bonanza,pragmatic-play-sweet-bonanza.jpg
Gates of Olympus,pragmatic-play-gates-of-olympus,pragmatic-play-gates-of-olympus.jpg
Fire Portals,pragmatic-play-fire-portals,pragmatic-play-fire-portals.jpg
Sugar Rush,pragmatic-play-sugar-rush,pragmatic-play-sugar-rush.jpg
Fruit Party,pragmatic-play-fruit-party,pragmatic-play-fruit-party.jpg
Sweet Fiesta Enhanced RTP,pragmatic-play-sweet-fiesta,pragmatic-play-sweet-fiesta.jpg
The Dog House,pragmatic-play-the-dog-house,pragmatic-play-the-dog-house.jpg
Big Bass Splash,pragmatic-play-big-bass-splash,pragmatic-play-big-bass-splash.jpg
Gates of Heaven Enhanced RTP,pragmatic-play-gates-of-heaven,pragmatic-play-gates-of-heaven.jpg
Sugar Twist Enhanced RTP,pragmatic-play-sugar-twist,pragmatic-play-sugar-twist.jpg
The Dog House - Dog or Alive,pragmatic-play-the-dog-house-dog-or-alive,pragmatic-play-the-dog-house-dog-or-alive.jpg
The Dog Mansion Megaways Enhanced RTP,pragmatic-play-the-dog-mansion-megaways,pragmatic-play-the-dog-mansion-megaways.jpg
Slushie Party Enhanced RTP,pragmatic-play-slushie-party,pragmatic-play-slushie-party.jpg
Jewel Bonanza Enhanced RTP,pragmatic-play-jewel-bonanza,pragmatic-play-jewel-bonanza.jpg
Starlight Princess,pragmatic-play-starlight-princess,pragmatic-play-starlight-princess.jpg
The Dog House Megaways,pragmatic-play-the-dog-house-megaways,pragmatic-play-the-dog-house-megaways.jpg
Candy Blitz,pragmatic-play-candy-blitz,pragmatic-play-candy-blitz.jpg
Floating Dragon,pragmatic-play-floating-dragon,pragmatic-play-floating-dragon.jpg
Gorilla Mayhem,pragmatic-play-gorilla-mayhem,pragmatic-play-gorilla-mayhem.jpg
The Hand of Midas,pragmatic-play-the-hand-of-midas,pragmatic-play-the-hand-of-midas.jpg
Fruit Party 2,pragmatic-play-fruit-party-2,pragmatic-play-fruit-party-2.jpg
Bison Spirit Enhanced RTP,pragmatic-play-bison-spirit,pragmatic-play-bison-spirit.jpg
Book of the Fallen,pragmatic-play-book-of-fallen,pragmatic-play-book-of-fallen.jpg
Lucky Phoenix Megaways Enhanced RTP,pragmatic-play-lucky-phoenix-megaways,pragmatic-play-lucky-phoenix-megaways.jpg
Buffalo King Megaways,pragmatic-play-buffalo-king-megaways,pragmatic-play-buffalo-king-megaways.jpg
Big Bass Bonanza,pragmatic-play-big-bass-bonanza,pragmatic-play-big-bass-bonanza.jpg
Madame Destiny Megaways,pragmatic-play-madame-destiny-megaways,pragmatic-play-madame-destiny-megaways.jpg
Christmas Big Bass Bonanza,pragmatic-play-christmas-big-bass-bonanza,pragmatic-play-christmas-big-bass-bonanza.jpg
Gems Bonanza,pragmatic-play-gems-bonanza,pragmatic-play-gems-bonanza.jpg
Bigger Bass Bonanza,pragmatic-play-bigger-bass-bonanza,pragmatic-play-bigger-bass-bonanza.jpg
Sweet Bonanza Xmas,pragmatic-play-sweet-bonanza-xmas,pragmatic-play-sweet-bonanza-xmas.jpg
Wild West Gold,pragmatic-play-wild-west-gold,pragmatic-play-wild-west-gold.jpg
Big Bass Bonanza Megaways,pragmatic-play-big-bass-bonanza-megaways,pragmatic-play-big-bass-bonanza-megaways.jpg
3 Genie Wishes,pragmatic-play-3-genie-wishes,pragmatic-play-3-genie-wishes.jpg
